name,category,code,unit,brand,vendor,image_url,is_active,created_by,quantity,branch,description
Cold foil paste,W/B,H-95,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Clear rubber paste,W/B,HL-371,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
High elasticity white rubber paste,W/B,HL-8065A,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
High elasticity clear rubber paste,W/B,HL-8065YA,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
High grade machine white rubber paste,W/B,HL-885    ,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
High grade machine clear rubber paste,W/B,HL-885Y,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Normal grade machine clear rubber paste,W/B,HL-886Y,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Elastic ribbon white rubber paste,W/B,HN-3,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Fixer,W/B,KD,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Glossy denim (JEANS) white rubber paste,W/B,KD-1,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Matt denim (JEANS) white rubber paste,W/B,KD-2,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Matt denim (JEANS) clear rubber paste,W/B,KD-2Y,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Glossy denim (JEANS) clear rubber paste,W/B,KD-3,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Water-proof nylon white rubber paste with KD Fixer 2%,W/B,PH-107A,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Water-proof nylon clear rubber paste with KD Fixer 2%,W/B,PH-107YA,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Nylon Rubber White Paste,W/B,PH-107B ,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
White Rubber paste for silicon coating mercerized cotton 5 KG,W/B,PH-108A,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
B2 Hot Foil Paste,W/B,H-97,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
B2 Transfer Flock Gel,W/B,2071,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Sublimation Binder,W/B,2072,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Glossy white rubber paste,W/B,HL-8066,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Glossy clear rubber paste,W/B,HL-8066Y,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Denim imitated discharge white paste,W/B,PH-404,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Denim imitated discharge clear paste,W/B,PH-405,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
LM Clear,W/B,2073,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
Water-based hot melt glue,W/B,PH-001,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
DIGITAL WHITE W/B,W/B,HL 660,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
PU MATT COATING,W/B,2074,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
STONE PUFF,W/B,2075,KG,B2,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GLITTER GEL,W/B,SP234,KG,ANTEX,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FOIL ADHESIVE,W/B,SP236,KG,ANTEX,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
REGULATOR,W/B,SP209,KG,ANTEX,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FLUORESCENT GREEN,W/B,2076,KG,ANTEX,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FLUORESENT YELLOW,W/B,2077,KG,ANTEX,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
PUFF BASE OB (TPL FOAM),W/B,NF80,KG,ANTEX,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FIXER,W/B,2078,KG,ANTEX,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
WHITE,W/B,XP50,KG,ANTEX,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
HD WHITE,W/B,2079,KG,ANTEX,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
HD CLEAR,W/B,2080,KG,ANTEX,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
BN BINDER,W/B,2081,KG,PIDILITE,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
PROTON 5000,W/B,2082,KG,PROTON,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
PRINTOFIX BINDER T20-20FL,W/B,2083,KG,CLARIANT,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
434 GLITTER BINDER,W/B,2084,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TABLE THICKNER,W/B,2085,KG,PIDILITE,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FIXCER,W/B,2086,KG,PIDILITE,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
CLARIANT SOFTNER,W/B,2087,KG,CLARIANT,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
LIQUID AMMONIA (450 ML),W/B,2088,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
EMULSPARY (SOAP OIL),W/B,2089,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GOLD BINDER GBX,W/B,2090,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
K FLOCK BINDER,W/B,2091,KG,KARAN,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
IMP. WATER PASTE,W/B,2092,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
WATER PASTE,W/B,2093,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
OIL PASTE,W/B,2094,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
"GOLD BRONZE POWDER, A1",W/B,2095,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
"GOLD BRONZE POWDER, A2",W/B,2096,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
"GOLD BRONZE POWDER, A3",W/B,2097,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
"GOLD BRONZE POWDER, C3",W/B,2098,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GOLD BRONZE POWDER FX 300,W/B,2099,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
"COPPER POWDER, O2",W/B,2100,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
RED BROWN,W/B,2101,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
UREA,W/B,2102,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
SBS FLOCK GEL,W/B,2103,KG,DUCOL,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
"ALUMINIUM POWDER (NO. 5, 6 & 7)",W/B,2104,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
DRG GOLD SIMMER,W/B,2105,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
B2 GLITTER BINDER,W/B,2106,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
PIDICRYL BINDER FJN,W/B,2107,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
METALLIC BINDER,W/B,2108,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FIXER N,W/B,2109,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
SHARPNER,W/B,2110,KG,PIDILITE,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GLITTERS,PRINTING ADD ON,2111,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GLITTERS FIRE SERIES,PRINTING ADD ON,2112,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GLITTERS FLUORESCENT,PRINTING ADD ON,2113,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GLITTERS ECO FRIENDLY,PRINTING ADD ON,2114,KG,-,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
DIRECT WHITE (NATURAL WHITE),NON PVC O/B,2115,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TRANSFER WHITE,NON PVC O/B,2116,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
BRIGHT WHITE,NON PVC O/B,2117,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
LITHO BACK UP WHITE,NON PVC O/B,2118,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
ORANGE,NON PVC O/B,2119,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
KELLY GREEN,NON PVC O/B,2120,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
BLOOD RED,NON PVC O/B,2121,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
LAKE RED,NON PVC O/B,2122,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
GOLDEN YELLOW,NON PVC O/B,2123,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
LEMON YELLOW,NON PVC O/B,2124,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
ROYAL BLUE,NON PVC O/B,2125,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
NAVY BLUE,NON PVC O/B,2126,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
BLACK,NON PVC O/B,2127,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
VIOLET,NON PVC O/B,2128,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
T. BLUE,NON PVC O/B,2129,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
DIRECT GEL,NON PVC O/B,2130,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
TRANSFER GEL,NON PVC O/B,2131,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
MIXING REDUCER,NON PVC O/B,2132,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
CLEANING REDUCER,NON PVC O/B,2133,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
FOAM,NON PVC O/B,2134,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
T.HIGH DENSITY BASE,NON PVC O/B,2135,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
IT HIGH DENSITY BASE,NON PVC O/B,2136,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
POLYGREY,NON PVC O/B,2137,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
WHITE AND BLACK HIGH DENSITY,NON PVC O/B,2138,KG,GRAFCO,null,,true,Sreeram,0,SREE RAMRAJ DYES & CHEMICALS,
